Rk;Jogador;Equipe;Minutos jogados;Taxa de acerto total;Pontos de 3 convertidos;Pontos de 3 tentados;Taxa de acerto de 3 pontos;Rebotes;Assistencias;Pontos por jogo
167;Simone Fontecchio;2TM;24.9;.460;2.0;5.1;.401;3.7;1.5;10.5
167;Simone Fontecchio;UTA;23.2;.450;1.8;4.7;.391;3.5;1.5;8.9
167;Simone Fontecchio;DET;30.3;.479;2.7;6.3;.426;4.4;1.8;15.4
168;Spencer Dinwiddie;2TM;28.3;.392;1.6;4.8;.337;2.7;4.7;10.5
168;Spencer Dinwiddie;BRK;30.7;.391;1.9;5.8;.320;3.3;6.0;12.6
168;Spencer Dinwiddie;LAL;24.2;.397;1.3;3.2;.389;1.7;2.4;6.8
169;Jaden McDaniels;MIN;29.2;.489;1.2;3.5;.337;3.1;1.4;10.5
170;Alec Burks;2TM;18.4;.369;1.9;5.0;.376;2.3;1.3;10.4
170;Alec Burks;DET;21.0;.394;2.3;5.7;.401;2.6;1.6;12.6
170;Alec Burks;NYK;13.5;.307;1.1;3.6;.301;1.7;0.9;6.5
171;Dalano Banton;2TM;19.4;.404;1.1;3.7;.296;3.3;2.4;10.3
171;Dalano Banton;BOS;7.1;.373;0.1;0.7;.125;1.5;0.8;2.3
171;Dalano Banton;POR;29.2;.408;1.9;6.1;.311;4.8;3.6;16.7
172;Grant Williams;2TM;28.0;.456;1.7;4.4;.375;4.2;2.3;10.3
172;Grant Williams;DAL;26.4;.413;1.7;4.5;.376;3.6;1.7;8.1
172;Grant Williams;CHO;30.6;.503;1.6;4.3;.373;5.1;3.2;13.9
173;Obi Toppin;IND;21.1;.573;1.2;3.1;.403;3.9;1.6;10.3
174;Kevin Huerter;SAC;24.4;.443;1.9;5.3;.361;3.5;2.6;10.2
175;Reggie Jackson;DEN;22.2;.431;1.2;3.5;.359;1.9;3.8;10.2
176;T.J. McConnell;IND;18.2;.556;0.3;0.6;.409;2.7;5.5;10.2
177;Onyeka Okongwu;ATL;25.5;.611;0.4;1.3;.333;6.8;1.3;10.2
178;Kentavious Caldwell-Pope;DEN;31.6;.460;1.6;4.1;.406;2.4;2.4;10.1
